	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
1	31/08/2025	7	106	13,762.93	2,202.07	15,965	150.61320755	33	483.78787879
2	30/08/2025	6	690	74,202.12	11,872.38	86,074.5	124.74565217	149	577.68120805
3	29/08/2025	5	517	42,157.87	6,745.13	48,903	94.58994197	111	440.56756757
4	28/08/2025	4	781	58,941.35	9,430.55	68,371.9	87.54404609	174	392.94195402
5	27/08/2025	3	857	55,538.92	8,886.28	64,425.2	75.17526254	199	323.74472362
6	26/08/2025	2	834	61,668.76	9,867.04	71,535.8	85.77434053	184	388.78152174
7	25/08/2025	1	550	37,388.08	5,982.12	43,370.2	78.85490909	125	346.9616
8	24/08/2025	7	607	51,708.7	8,273.3	59,982	98.81713344	146	410.83561644
9	23/08/2025	6	791	74,634.16	11,941.44	86,575.6	109.45082174	161	537.73664596
10	22/08/2025	5	539	48,669.83	7,787.17	56,457	104.74397032	80	705.7125
11	21/08/2025	4	749	50,939.39	8,150.41	59,089.8	78.89158879	143	413.21538462
12	20/08/2025	3	829	47,963.95	7,674.25	55,638.2	67.11483715	180	309.10111111
13	19/08/2025	2	721	52,679.07	8,428.63	61,107.7	84.75409154	171	357.35497076
14	18/08/2025	1	809	55,059.16	8,809.54	63,868.7	78.94771323	150	425.79133333
15	17/08/2025	7	714	61,106.26	9,776.94	70,883.2	99.27619048	168	421.92380952
16	16/08/2025	6	875	93,706	14,993	108,699	124.22742857	183	593.98360656
17	15/08/2025	5	287	24,336.75	3,893.85	28,230.6	98.36445993	76	371.45526316
18	14/08/2025	4	704	60,320.49	9,651.31	69,971.8	99.39176136	144	485.91527778
19	13/08/2025	3	676	42,231.85	6,757.15	48,989	72.46893491	157	312.03184713
20	12/08/2025	2	605	50,116.18	8,018.62	58,134.8	96.09057851	139	418.23597122
21	11/08/2025	1	597	42,264.73	6,762.37	49,027.1	82.12244556	165	297.13393939
22	10/08/2025	7	639	55,038.79	8,806.21	63,845	99.91392801	155	411.90322581
23	09/08/2025	6	633	61,194.58	9,791.02	70,985.6	112.14154818	147	482.8952381
24	08/08/2025	5	482	43,578.47	6,972.53	50,551	104.87759336	104	486.06730769
25	07/08/2025	4	778	52,974.44	8,475.86	61,450.3	78.98496144	149	412.41812081
26	06/08/2025	3	552	34,366.52	5,498.68	39,865.2	72.21956522	122	326.76393443
27	05/08/2025	2	614	39,582.75	6,333.25	45,916	74.78175896	126	364.41269841
28	04/08/2025	1	418	31,425.52	5,028.08	36,453.6	87.20956938	95	383.72210526
29	03/08/2025	7	726	66,115.53	10,578.47	76,694	105.63911846	172	445.89534884
30	02/08/2025	6	698	66,211.72	10,593.88	76,805.6	110.03667622	161	477.05341615
31	01/08/2025	5	198	17,357.84	2,777.26	20,135.1	101.69242424	51	394.80588235
32	31/07/2025	4	803	57,259.47	9,161.63	66,421.1	82.71618929	167	397.73113772
33	30/07/2025	3	946	55,950.13	8,952.07	64,902.2	68.60697674	191	339.80209424
34	29/07/2025	2	459	38,494.09	6,159.11	44,653.2	97.28366013	104	429.35769231
35	28/07/2025	1	423	28,016.43	4,482.67	32,499.1	76.83002364	108	300.91759259
36	27/07/2025	7	882	80,785.94	12,925.76	93,711.7	106.24909297	182	514.89945055
37	26/07/2025	6	726	65,487.65	10,478.05	75,965.7	104.63595041	138	550.47608696
38	25/07/2025	5	470	36,912.08	5,905.92	42,818	91.10212766	79	542
39	24/07/2025	4	746	61,926.69	9,908.31	71,835	96.29356568	135	532.11111111
40	23/07/2025	3	767	58,284.51	9,325.59	67,610.1	88.14876141	152	444.80328947
41	22/07/2025	2	431	26,751.64	4,280.26	31,031.9	71.99976798	89	348.67303371
42	21/07/2025	1	558	35,156.38	5,625.02	40,781.4	73.08494624	106	384.73018868
43	20/07/2025	7	922	79,979.26	12,796.74	92,776	100.62472885	195	475.77435897
44	19/07/2025	6	638	47,545.87	7,607.33	55,153.2	86.44702194	113	488.08141593
45	18/07/2025	5	269	23,455.78	3,752.92	27,208.7	101.14758364	64	425.1359375
46	17/07/2025	4	758	49,712.73	7,954.07	57,666.8	76.07757256	153	376.90718954
47	16/07/2025	3	959	54,966.36	8,794.64	63,761	66.48696559	184	346.52717391
48	15/07/2025	2	790	49,951.24	7,992.26	57,943.5	73.34620253	183	316.63114754
49	14/07/2025	1	664	48,734.72	7,797.58	56,532.3	85.13900602	128	441.65859375
50	13/07/2025	7	776	86,018.98	13,763.02	99,782	128.58505155	165	604.73939394
51	12/07/2025	6	658	50,354.28	8,056.72	58,411	88.77051672	136	429.49264706
52	11/07/2025	5	403	35,182.68	5,629.22	40,811.9	101.27022333	88	463.77159091
53	10/07/2025	4	632	49,514.63	7,922.37	57,437	90.88132911	145	396.11724138
54	09/07/2025	3	329	19,498.26	3,119.74	22,618	68.74772036	75	301.57333333
55	08/07/2025	2	280	18,943.04	3,030.96	21,974	78.47857143	76	289.13157895
56	07/07/2025	1	362	34,685.35	5,549.65	40,235	111.14640884	67	600.52238806
57	06/07/2025	7	797	72,731.99	11,637.11	84,369.1	105.85834379	172	490.51802326
58	05/07/2025	6	1,000	82,244.86	13,159.2	95,404.06	95.40406	206	463.12650485
59	04/07/2025	5	343	33,767.4	5,402.8	39,170.2	114.19883382	59	663.90169492
60	03/07/2025	4	187	13,606.78	2,177.12	15,783.9	84.40588235	41	384.97317073
61	02/07/2025	3	258	14,330.27	2,292.83	16,623.1	64.43062016	51	325.94313725
62	01/07/2025	2	293	20,394.53	3,263.17	23,657.7	80.74300341	90	262.86333333
63	30/06/2025	1	124	9,119.21	1,459.09	10,578.3	85.30887097	34	311.12647059
64	29/06/2025	7	920	79,160.37	12,665.63	91,826	99.81086957	198	463.76767677
65	28/06/2025	6	803	87,606.04	14,016.96	101,623	126.55417186	181	561.45303867
66	27/06/2025	5	420	33,119	5,299	38,418	91.47142857	81	474.2962963
67	26/06/2025	4	236	16,644.32	2,663.08	19,307.4	81.81101695	41	470.91219512
68	25/06/2025	3	182	13,029.3	2,084.7	15,114	83.04395604	45	335.86666667
69	24/06/2025	2	195	13,366.63	2,138.67	15,505.3	79.51435897	43	360.58837209
70	23/06/2025	1	150	10,543.77	1,687.03	12,230.8	81.53866667	33	370.63030303
71	22/06/2025	7	613	69,417.47	11,106.83	80,524.3	131.36101142	151	533.27350993
72	21/06/2025	6	811	76,971.54	12,315.46	89,287	110.09494451	190	469.93157895
73	20/06/2025	5	288	26,279.81	4,204.79	30,484.6	105.84930556	60	508.07666667
74	19/06/2025	4	203	16,876.04	2,700.16	19,576.2	96.43448276	37	529.08648649
75	18/06/2025	3	369	19,287.79	3,086.01	22,373.8	60.63360434	84	266.3547619
76	17/06/2025	2	257	17,051.71	2,728.29	19,780	76.96498054	45	439.55555556
77	16/06/2025	1	84	5,479.4	876.7	6,356.1	75.66785714	23	276.35217391
78	15/06/2025	7	712	63,815.04	10,210.46	74,025.5	103.96839888	133	556.58270677
79	14/06/2025	6	618	60,696.68	9,711.52	70,408.2	113.92912621	139	506.53381295
80	13/06/2025	5	149	10,914.59	1,746.31	12,660.9	84.97248322	37	342.18648649
81	12/06/2025	4	321	23,812.94	3,810.06	27,623	86.0529595	51	541.62745098
82	11/06/2025	3	119	6,541.27	1,046.63	7,587.9	63.76386555	37	205.07837838
83	10/06/2025	2	132	7,254.04	1,160.66	8,414.7	63.74772727	29	290.16206897
84	09/06/2025	1	115	27,616.45	4,418.65	32,035.1	278.56608696	32	1,001.096875
85	08/06/2025	7	645	45,707.86	7,313.24	53,021.1	82.20325581	154	344.29285714
86	07/06/2025	6	854	75,789.78	12,126.32	87,916.1	102.94625293	194	453.1757732
87	06/06/2025	5	124	10,704.31	1,712.69	12,417	100.13709677	32	388.03125
