	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
61	30/10/2024	3	118	7,489.7411	1,198.3589	8,688.1	73.6279661	35	248.23142857
62	29/10/2024	2	86	7,006.0346	1,120.9654	8,127	94.5	17	478.05882353
63	28/10/2024	1	99	150,993.1134	24,158.8866	175,152	1,769.21212121	27	6,487.11111111
64	27/10/2024	7	360	61,240.6887	9,798.5113	71,039.2	197.33111111	92	772.16521739
65	26/10/2024	6	492	58,936.2917	9,429.8083	68,366.1	138.9554878	105	651.10571429
66	25/10/2024	5	218	22,088.8796	3,534.2204	25,623.1	117.53715596	58	441.77758621
67	24/10/2024	4	167	31,941.5517	5,110.6483	37,052.2	221.86946108	38	975.05789474
68	23/10/2024	3	49	3,086.3795	493.8205	3,580.2	73.06530612	11	325.47272727
69	22/10/2024	2	20	1,872.5002	299.5998	2,172.1	108.605	6	362.01666667
70	21/10/2024	1	71	6,073.2761	971.7239	7,045	99.22535211	16	440.3125
71	20/10/2024	7	305	46,153.4486	7,384.5514	53,538	175.53442623	89	601.5505618
72	19/10/2024	6	411	29,394.1367	4,703.0633	34,097.2	82.96155718	86	396.47906977
73	18/10/2024	5	160	12,151.3799	1,944.2201	14,095.6	88.0975	31	454.69677419
74	17/10/2024	4	110	10,651.7239	1,704.2761	12,356	112.32727273	25	494.24
75	16/10/2024	3	197	13,232.7588	2,117.2412	15,350	77.91878173	48	319.79166667
76	15/10/2024	2	121	11,348.276	1,815.724	13,164	108.79338843	19	692.84210526
77	14/10/2024	1	112	10,582.5856	1,693.2144	12,275.8	109.60535714	33	371.99393939
78	13/10/2024	7	343	32,140.1717	5,142.4283	37,282.6	108.69562682	90	414.25111111
79	12/10/2024	6	454	46,319.1381	7,411.0619	53,730.2	118.34845815	132	407.0469697
80	11/10/2024	5	219	10,243.9654	1,639.0346	11,883	54.26027397	31	383.32258065
81	10/10/2024	4	83	9,436.2066	1,509.7934	10,946	131.87951807	21	521.23809524
82	09/10/2024	3	117	29,278.2758	4,684.5242	33,962.8	290.28034188	34	998.90588235
83	08/10/2024	2	41	4,109.4829	657.5171	4,767	116.26829268	14	340.5
84	07/10/2024	1	82	14,827.5862	2,372.4138	17,200	209.75609756	18	955.55555556
85	06/10/2024	7	552	62,680.1726	10,028.8274	72,709	131.7192029	155	469.09032258
86	05/10/2024	6	342	45,730.171	7,316.829	53,047	155.10818713	92	576.59782609
87	04/10/2024	5	182	30,493.9663	4,879.0337	35,373	194.35714286	36	982.58333333
88	03/10/2024	4	67	25,090.5175	4,014.4825	29,105	434.40298507	21	1,385.95238095
89	02/10/2024	3	30	2,797.5864	447.6136	3,245.2	108.17333333	12	270.43333333
90	01/10/2024	2	837	84,108.612	13,457.388	97,566	116.56630824	208	469.06730769
91	30/09/2024	1	98	9,102.586	1,456.414	10,559	107.74489796	19	555.73684211
92	29/09/2024	7	603	80,832.757	12,933.243	93,766	155.49917081	143	655.70629371
93	28/09/2024	6	859	76,320.6893	12,211.3107	88,532	103.06402794	172	514.72093023
94	27/09/2024	5	591	54,671.8953	8,747.5047	63,419.4	107.30862944	111	571.34594595
95	26/09/2024	4	160	13,451.7239	2,152.2761	15,604	97.525	55	283.70909091
96	25/09/2024	3	72	6,843.1036	1,094.8964	7,938	110.25	20	396.9
97	24/09/2024	2	74	16,957.7587	2,713.2413	19,671	265.82432432	16	1,229.4375
98	23/09/2024	1	114	10,154.4828	1,624.7172	11,779.2	103.32631579	27	436.26666667
99	22/09/2024	7	520	62,620.5163	10,019.2837	72,639.8	139.69192308	108	672.59074074
100	21/09/2024	6	716	63,721.5514	10,195.4486	73,917	103.23603352	136	543.50735294
101	20/09/2024	5	454	24,803.4396	3,968.5604	28,772	63.37444934	23	1,250.95652174
102	19/09/2024	4	74	6,974.1379	1,115.8621	8,090	109.32432432	17	475.88235294
103	18/09/2024	3	107	10,047.9312	1,607.6688	11,655.6	108.93084112	30	388.52
104	17/09/2024	2	130	11,700.0004	1,871.9996	13,572	104.4	38	357.15789474
105	16/09/2024	1	281	23,181.0354	3,708.9646	26,890	95.69395018	74	363.37837838
106	15/09/2024	7	265	23,954.4825	3,832.7175	27,787.2	104.85735849	66	421.01818182
107	14/09/2024	6	355	35,679.8269	5,708.7731	41,388.6	116.58760563	99	418.06666667
108	13/09/2024	5	94	26,141.0342	4,182.5658	30,323.6	322.59148936	30	1,010.78666667
109	12/09/2024	4	83	6,591.0341	1,054.5659	7,645.6	92.11566265	20	382.28
110	11/09/2024	3	74	7,169.8276	1,147.1724	8,317	112.39189189	12	693.08333333
111	10/09/2024	2	80	6,356.0348	1,016.9652	7,373	92.1625	25	294.92
112	09/09/2024	1	164	13,224.1375	2,115.8625	15,340	93.53658537	32	479.375
113	08/09/2024	7	456	46,364.6553	7,418.3447	53,783	117.94517544	102	527.28431373
114	07/09/2024	6	522	49,910.3455	7,985.6545	57,896	110.91187739	141	410.60992908
