	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
64	29/06/2025	7	401	54,128.98	8,660.62	62,789.6	156.58254364	101	621.67920792
65	28/06/2025	6	289	65,136.21	10,421.79	75,558	261.44636678	24	3,148.25
66	27/06/2025	5	513	105,411.33	16,865.92	122,277.25	238.35721248	178	686.9508427
67	26/06/2025	4	422	61,814.32	9,890.28	71,704.6	169.91611374	99	724.28888889
68	25/06/2025	3	307	40,594.84	6,495.16	47,090	153.38762215	69	682.46376812
69	24/06/2025	2	135	80,321.53	12,851.47	93,173	690.17037037	37	2,518.18918919
70	23/06/2025	1	132	19,254.76	3,080.74	22,335.5	169.20833333	24	930.64583333
71	22/06/2025	7	703	89,855.61	14,376.89	104,232.5	148.26813656	199	523.78140704
72	21/06/2025	6	565	81,924.98	13,108.02	95,033	168.2	123	772.62601626
73	20/06/2025	5	327	76,222.42	12,195.58	88,418	270.39143731	80	1,105.225
74	19/06/2025	4	165	52,532.23	8,405.17	60,937.4	369.31757576	41	1,486.27804878
75	18/06/2025	3	204	104,466.02	16,714.53	121,180.55	594.02230392	50	2,423.611
76	17/06/2025	2	155	90,554.3	14,488.7	105,043	677.69677419	33	3,183.12121212
77	16/06/2025	1	106	44,559.15	7,129.45	51,688.6	487.62830189	12	4,307.38333333
78	15/06/2025	7	341	54,223.49	8,675.71	62,899.2	184.45513196	75	838.656
79	14/06/2025	6	605	92,037.12	14,725.88	106,763	176.4677686	126	847.32539683
80	13/06/2025	5	351	58,264.65	9,322.35	67,587	192.55555556	75	901.16
81	12/06/2025	4	154	30,366.37	4,858.63	35,225	228.73376623	40	880.625
82	11/06/2025	3	85	19,831.93	3,173.07	23,005	270.64705882	17	1,353.23529412
83	10/06/2025	2	95	56,010.36	8,961.64	64,972	683.91578947	31	2,095.87096774
84	09/06/2025	1	169	25,508.31	4,081.29	29,589.6	175.08639053	37	799.71891892
85	08/06/2025	7	407	51,524.3	8,243.9	59,768.2	146.85061425	63	948.7015873
86	07/06/2025	6	424	53,658.81	8,585.39	62,244.2	146.80235849	83	749.93012048
87	06/06/2025	5	377	67,191.44	10,750.56	77,942	206.74270557	82	950.51219512
88	05/06/2025	4	179	56,522.43	9,043.57	65,566	366.29050279	42	1,561.0952381
89	04/06/2025	3	80	40,987.93	6,558.07	47,546	594.325	20	2,377.3
90	03/06/2025	2	173	17,300.71	2,768.09	20,068.8	116.00462428	40	501.72
91	02/06/2025	1	171	43,878.32	7,020.53	50,898.85	297.65409357	38	1,339.44342105
92	01/06/2025	7	372	50,821.58	8,131.42	58,953	158.47580645	95	620.55789474
93	31/05/2025	6	432	57,412.96	9,186.04	66,599	154.16435185	102	652.93137255
94	30/05/2025	5	511	101,207.67	16,193.13	117,400.8	229.74716243	125	939.2064
95	29/05/2025	4	221	27,384.51	4,381.49	31,766	143.73755656	41	774.7804878
96	28/05/2025	3	104	18,228.46	2,916.54	21,145	203.31730769	26	813.26923077
97	27/05/2025	2	151	37,643.12	6,022.88	43,666	289.17880795	35	1,247.6
98	26/05/2025	1	92	33,755.02	5,400.78	39,155.8	425.60652174	23	1,702.42608696
99	25/05/2025	7	400	45,546.34	7,287.46	52,833.8	132.0845	84	628.97380952
100	24/05/2025	6	255	31,733.63	5,077.37	36,811	144.35686275	58	634.67241379
101	23/05/2025	5	430	59,237.92	9,478.08	68,716	159.80465116	88	780.86363636
102	22/05/2025	4	133	34,143.95	5,463.05	39,607	297.79699248	42	943.02380952
103	21/05/2025	3	46	7,051.57	1,128.23	8,179.8	177.82173913	14	584.27142857
