	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
64	29/06/2025	7	447	91,836.57	14,693.83	106,530.4	238.32304251	109	977.34311927
65	28/06/2025	6	594	94,592.24	15,134.76	109,727	184.72558923	128	857.2421875
66	27/06/2025	5	825	99,235.81	15,877.79	115,113.6	139.53163636	190	605.86105263
67	26/06/2025	4	364	45,953.45	7,352.55	53,306	146.44505495	75	710.74666667
68	25/06/2025	3	258	36,783.67	5,885.33	42,669	165.38372093	62	688.20967742
69	24/06/2025	2	204	35,262.59	5,642.01	40,904.6	200.5127451	61	670.56721311
70	23/06/2025	1	97	8,000.87	1,280.13	9,281	95.68041237	16	580.0625
71	22/06/2025	7	623	73,555.24	11,768.76	85,324	136.95666132	124	688.09677419
72	21/06/2025	6	594	75,369.84	12,059.16	87,429	147.18686869	117	747.25641026
73	20/06/2025	5	556	78,618.15	12,578.85	91,197	164.02338129	99	921.18181818
74	19/06/2025	4	353	84,774.15	13,563.85	98,338	278.57790368	64	1,536.53125
75	18/06/2025	3	187	26,677.63	4,268.37	30,946	165.48663102	68	455.08823529
76	17/06/2025	2	59	5,468.99	875.01	6,344	107.52542373	14	453.14285714
77	16/06/2025	1	54	5,051.04	808.16	5,859.2	108.5037037	13	450.70769231
78	15/06/2025	7	365	42,180.03	6,748.77	48,928.8	134.05150685	84	582.48571429
79	14/06/2025	6	368	42,971.54	6,875.46	49,847	135.45380435	88	566.44318182
80	13/06/2025	5	405	67,848.45	10,855.75	78,704.2	194.33135802	97	811.38350515
81	12/06/2025	4	109	12,918.97	2,067.03	14,986	137.48623853	19	788.73684211
82	11/06/2025	3	114	9,772.42	1,563.58	11,336	99.43859649	10	1,133.6
83	10/06/2025	2	76	5,763.81	922.19	6,686	87.97368421	13	514.30769231
84	09/06/2025	1	93	12,252.59	1,960.41	14,213	152.82795699	18	789.61111111
85	08/06/2025	7	214	24,715.55	3,954.45	28,670	133.97196262	44	651.59090909
86	07/06/2025	6	711	103,892.24	16,622.76	120,515	169.50070323	132	912.99242424
87	06/06/2025	5	408	46,948.25	7,511.75	54,460	133.48039216	67	812.8358209
88	05/06/2025	4	168	60,727.6	9,716.4	70,444	419.30952381	23	3,062.7826087
89	04/06/2025	3	128	22,335.03	3,573.57	25,908.6	202.4109375	27	959.57777778
90	03/06/2025	2	104	27,822.26	4,451.54	32,273.8	310.325	39	827.53333333
91	02/06/2025	1	78	12,824.99	2,052.01	14,877	190.73076923	24	619.875
92	01/06/2025	7	341	57,992.02	9,278.78	67,270.8	197.27507331	71	947.47605634
93	31/05/2025	6	412	61,481.7	9,837.05	71,318.75	173.10376214	80	891.484375
94	30/05/2025	5	668	92,241.39	14,758.56	106,999.95	160.17956587	134	798.50708955
