	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
1	30/12/2024	1	285	24,214.6755	3,874.3245	28,089	98.55789474	66	425.59090909
2	29/12/2024	7	428	28,986.203	4,637.797	33,624	78.56074766	63	533.71428571
3	28/12/2024	6	388	52,072.1531	8,331.5469	60,403.7	155.67963918	55	1,098.24909091
4	27/12/2024	5	552	44,366.2227	7,098.5773	51,464.8	93.23333333	84	612.67619048
5	26/12/2024	4	563	49,370.1762	7,899.2238	57,269.4	101.72184725	90	636.32666667
6	25/12/2024	3	106	9,600.8762	1,536.1238	11,137	105.06603774	19	586.15789474
7	23/12/2024	1	379	39,285.0876	6,285.6124	45,570.7	120.23931398	78	584.23974359
8	22/12/2024	7	381	36,657.0703	5,865.1297	42,522.2	111.60682415	74	574.62432432
9	21/12/2024	6	319	31,757.7593	5,081.2407	36,839	115.48275862	60	613.98333333
10	20/12/2024	5	431	38,879.3127	6,220.6873	45,100	104.64037123	74	609.45945946
11	19/12/2024	4	321	43,587.7604	6,974.0396	50,561.8	157.51339564	57	887.04912281
12	18/12/2024	3	472	62,956.8976	10,073.1024	73,030	154.72457627	67	1,090
13	17/12/2024	2	226	51,566.3805	8,250.6195	59,817	264.67699115	35	1,709.05714286
14	16/12/2024	1	116	30,375.3452	4,860.0548	35,235.4	303.75344828	20	1,761.77
15	15/12/2024	7	477	44,655.8717	7,144.9383	51,800.81	108.59708595	79	655.7064557
16	14/12/2024	6	265	26,558.7944	4,249.4056	30,808.2	116.25735849	51	604.08235294
17	13/12/2024	5	465	36,840.5191	5,894.4809	42,735	91.90322581	52	821.82692308
18	12/12/2024	4	217	71,113.7928	11,378.2072	82,492	380.14746544	43	1,918.41860465
19	11/12/2024	3	123	13,008.6212	2,081.3788	15,090	122.68292683	18	838.33333333
20	10/12/2024	2	198	31,525.5183	5,044.0817	36,569.6	184.69494949	24	1,523.73333333
21	09/12/2024	1	111	23,256.0349	3,720.9651	26,977	243.03603604	18	1,498.72222222
22	08/12/2024	7	478	64,358.2791	10,297.3209	74,655.6	156.1832636	86	868.08837209
